"","country","region","year","income","Life_Expectancy","Population_size"
"1","Afghanistan","Asia","1800",603,28.2,3280000
"2","Albania","Europe","1800",667,35.4,410000
"3","Algeria","Africa","1800",715,28.8,2500000
"4","Angola","Africa","1800",618,27,1570000
"5","Antigua and Barbuda","Americas","1800",757,33.5,37000
"6","Argentina","Americas","1800",1510,33.2,534000
"7","Armenia","Asia","1800",514,34,413000
"8","Australia","Oceania","1800",814,34,351000
"9","Austria","Europe","1800",1850,34.4,3210000
"10","Azerbaijan","Asia","1800",775,29.2,880000
"11","Bahamas","Americas","1800",1450,35.2,27400
"12","Bahrain","Asia","1800",1240,30.3,64500
"13","Bangladesh","Asia","1800",876,25.5,19200000
"14","Barbados","Americas","1800",913,32.1,81700
"15","Belarus","Europe","1800",608,36.2,2360000
"16","Belgium","Europe","1800",2410,40,3140000
"17","Belize","Americas","1800",579,26.5,25500
"18","Benin","Africa","1800",597,31,637000
"19","Bhutan","Asia","1800",629,28.8,90000
"20","Bolivia","Americas","1800",854,33,1100000
"21","Bosnia and Herzegovina","Europe","1800",669,35.1,852000
"22","Botswana","Africa","1800",397,33.6,121000
"23","Brazil","Americas","1800",1110,32,3640000
"24","Brunei","Asia","1800",1510,29.2,2130
"25","Bulgaria","Europe","1800",1090,35.8,1990000
"26","Burkina Faso","Africa","1800",480,29.2,1670000
"27","Burundi","Africa","1800",418,31.5,899000
"28","Cambodia","Asia","1800",903,35,2090000
"29","Cameroon","Africa","1800",626,28.8,1860000
"30","Canada","Americas","1800",1310,39,646000
"31","Cape Verde","Africa","1800",529,33.8,55700
"32","Central African Republic","Africa","1800",424,30,479000
"33","Chad","Africa","1800",418,30.9,1430000
"34","Chile","Americas","1800",1030,32,771000
"35","China","Asia","1800",984,32,322000000
"36","Colombia","Americas","1800",962,32,1210000
"37","Comoros","Africa","1800",696,32.1,56300
"38","Congo, Dem. Rep.","Africa","1800",485,31.6,5160000
"39","Congo, Rep.","Africa","1800",575,32.7,314000
"40","Costa Rica","Americas","1800",775,30.2,52000
"41","Cote d'Ivoire","Africa","1800",812,31.2,1090000
"42","Croatia","Europe","1800",1080,36.1,1230000
"43","Cuba","Americas","1800",864,32.2,345000
"44","Cyprus","Asia","1800",853,38.5,184000
"45","Czech Republic","Europe","1800",1920,35,5520000
"46","Denmark","Europe","1800",2010,37.4,1060000
"47","Djibouti","Africa","1800",752,29.9,22800
"48","Dominican Republic","Americas","1800",667,29.9,89000
"49","Ecuador","Americas","1800",529,32.9,500000
"50","Egypt","Africa","1800",790,33,4240000
"51","El Salvador","Americas","1800",974,28.7,248000
"52","Equatorial Guinea","Africa","1800",356,29.8,80400
"53","Eritrea","Africa","1800",532,30.2,205000
"54","Estonia","Europe","1800",938,36.1,334000
"55","Ethiopia","Africa","1800",523,29.7,2950000
"56","Fiji","Oceania","1800",785,26.1,131000
"57","Finland","Europe","1800",1240,36.6,978000
"58","France","Europe","1800",1800,34,29400000
"59","Gabon","Africa","1800",390,30.6,158000
"60","Gambia","Africa","1800",813,28.8,103000
"61","Georgia","Asia","1800",543,31.9,1070000
"62","Germany","Europe","1800",1640,38.4,22900000
"63","Ghana","Africa","1800",696,28,2020000
"64","Greece","Europe","1800",1370,36.6,2150000
"65","Grenada","Americas","1800",959,31.4,29400
"66","Guatemala","Americas","1800",857,25.8,459000
"67","Guinea","Africa","1800",450,29.5,984000
"68","Guinea-Bissau","Africa","1800",777,32,218000
"69","Guyana","Americas","1800",1210,31.1,166000
"70","Haiti","Americas","1800",633,29,723000
"71","Honduras","Americas","1800",675,33.9,126000
"72","Hungary","Europe","1800",1250,36,3500000
"73","Iceland","Europe","1800",926,42.9,61400
"74","India","Asia","1800",1050,25.4,169000000
"75","Indonesia","Asia","1800",994,30,16100000
"76","Iran","Asia","1800",976,25.6,6270000
"77","Iraq","Asia","1800",969,31.2,1080000
"78","Ireland","Europe","1800",1450,38.3,4060000
"79","Israel","Asia","1800",879,32,210000
"80","Italy","Europe","1800",2220,29.7,18800000
"81","Jamaica","Americas","1800",1170,34.2,401000
"82","Japan","Asia","1800",1050,36.4,30300000
"83","Jordan","Asia","1800",976,31.7,217000
"84","Kazakhstan","Asia","1800",1140,26.2,2040000
"85","Kenya","Africa","1800",854,25.5,2570000
"86","Kiribati","Oceania","1800",551,24.9,17900
"87","Kuwait","Asia","1800",1100,26,81300
"88","Kyrgyz Republic","Asia","1800",508,23.9,530000
"89","Lao","Asia","1800",864,31.9,470000
"90","Latvia","Europe","1800",751,33,591000
"91","Lebanon","Asia","1800",1080,29.7,332000
"92","Lesotho","Africa","1800",393,32.8,276000
"93","Liberia","Africa","1800",797,31.1,314000
"94","Libya","Africa","1800",1050,33.1,531000
"95","Lithuania","Europe","1800",1270,28.9,779000
"96","Luxembourg","Europe","1800",1450,36.9,127000
"97","Macedonia, FYR","Europe","1800",690,36.1,392000
"98","Madagascar","Africa","1800",573,30.5,1540000
"99","Malawi","Africa","1800",350,30.3,737000
"100","Malaysia","Asia","1800",997,30.6,287000
"101","Maldives","Asia","1800",842,32.6,42400
"102","Mali","Africa","1800",603,26.4,1400000
"103","Malta","Europe","1800",781,28.7,134000
"104","Mauritania","Africa","1800",527,32,383000
"105","Mauritius","Africa","1800",940,28.7,62900
"106","Mexico","Americas","1800",1380,26.9,6180000
"107","Micronesia, Fed. Sts.","Oceania","1800",518,26.7,16400
"108","Moldova","Europe","1800",621,33.1,713000
"109","Mongolia","Asia","1800",592,31.8,619000
"110","Montenegro","Europe","1800",1060,35.4,127000
"111","Morocco","Africa","1800",714,33.1,2500000
"112","Mozambique","Africa","1800",390,30.3,1980000
"113","Myanmar","Asia","1800",840,30.8,3510000
"114","Namibia","Africa","1800",540,32.4,229000
"115","Nepal","Asia","1800",654,32.8,3880000
"116","Netherlands","Europe","1800",4230,39.9,2250000
"117","New Zealand","Oceania","1800",658,34,100000
"118","Nicaragua","Americas","1800",973,25.4,219000
"119","Niger","Africa","1800",446,30.8,1240000
"120","Nigeria","Africa","1800",851,30.4,12100000
"121","North Korea","Asia","1800",578,26,4350000
"122","Norway","Europe","1800",1280,37.9,869000
"123","Oman","Asia","1800",915,32.3,318000
"124","Pakistan","Asia","1800",1020,25.8,13100000
"125","Palestine","Asia","1800",1220,32.1,166000
"126","Panama","Americas","1800",847,32.9,78800
"127","Papua New Guinea","Oceania","1800",546,31.5,755000
"128","Paraguay","Americas","1800",835,35.5,143000
"129","Peru","Americas","1800",1200,35.7,1310000
"130","Philippines","Asia","1800",962,30.9,1890000
"131","Poland","Europe","1800",1210,35.9,9510000
"132","Portugal","Europe","1800",1680,35.6,3030000
"133","Qatar","Asia","1800",1100,30.8,14100
"134","Romania","Europe","1800",815,35.7,5460000
"135","Russia","Europe","1800",1430,29.6,31100000
"136","Rwanda","Africa","1800",431,31.8,928000
"137","Samoa","Oceania","1800",1400,25.4,47300
"138","Sao Tome and Principe","Africa","1800",850,31,22700
"139","Saudi Arabia","Asia","1800",846,32.1,2090000
"140","Senegal","Africa","1800",497,25.2,1010000
"141","Serbia","Europe","1800",1360,35.5,2150000
"142","Seychelles","Africa","1800",792,37,12500
"143","Sierra Leone","Africa","1800",734,25.1,794000
"144","Singapore","Asia","1800",1020,29.1,30000
"145","Slovak Republic","Europe","1800",1430,36.4,2140000
"146","Slovenia","Europe","1800",1410,36.6,470000
"147","Solomon Islands","Oceania","1800",363,25.1,57000
"148","Somalia","Africa","1800",694,29.4,991000
"149","South Africa","Africa","1800",1480,33.5,1440000
"150","South Korea","Asia","1800",575,25.8,9400000
"151","South Sudan","Africa","1800",507,26.7,1030000
"152","Spain","Europe","1800",1520,29.5,11500000
"153","Sri Lanka","Asia","1800",898,32.6,1210000
"154","St. Lucia","Americas","1800",874,28,24000
"155","St. Vincent and the Grenadines","Americas","1800",838,26,25800
