"","year","state","state_po","candidate","party","state_sum","statetotal","state_percent"
"1",2000,"ALABAMA","AL","GEORGE W. BUSH","REPUBLICAN",944409,1672551,56.4651840212944
"2",2000,"ALASKA","AK","GEORGE W. BUSH","REPUBLICAN",167398,285530,58.6271144888453
"3",2000,"ARIZONA","AZ","GEORGE W. BUSH","REPUBLICAN",781652,1534113,50.9513966702583
"4",2000,"ARKANSAS","AR","GEORGE W. BUSH","REPUBLICAN",472940,921781,51.3071976966329
"5",2000,"CALIFORNIA","CA","AL GORE","DEMOCRAT",5861203,10965856,53.4495711050738
"6",2000,"COLORADO","CO","GEORGE W. BUSH","REPUBLICAN",883745,1741365,50.7501299268103
"7",2000,"CONNECTICUT","CT","AL GORE","DEMOCRAT",816015,1459525,55.9096281324403
"8",2000,"DELAWARE","DE","AL GORE","DEMOCRAT",180068,327529,54.9777271630909
"9",2000,"DISTRICT OF COLUMBIA","DC","AL GORE","DEMOCRAT",171923,201894,85.1550813793377
"10",2000,"FLORIDA","FL","AL GORE","DEMOCRAT",2911417,5960660,48.8438696385971
"11",2000,"GEORGIA","GA","GEORGE W. BUSH","REPUBLICAN",1419720,2596804,54.6718196675606
"12",2000,"HAWAII","HI","AL GORE","DEMOCRAT",205242,367871,55.7918400743739
"13",2000,"IDAHO","ID","GEORGE W. BUSH","REPUBLICAN",336937,501621,67.1696360399585
"14",2000,"ILLINOIS","IL","AL GORE","DEMOCRAT",2589026,4742123,54.5963485131027
"15",2000,"INDIANA","IN","GEORGE W. BUSH","REPUBLICAN",1245836,2199305,56.6468043313683
"16",2000,"IOWA","IA","AL GORE","DEMOCRAT",638517,1315563,48.5356459553818
"17",2000,"KANSAS","KS","GEORGE W. BUSH","REPUBLICAN",622332,1072216,58.0416632469577
"18",2000,"KENTUCKY","KY","GEORGE W. BUSH","REPUBLICAN",872492,1544187,56.5017060757538
"19",2000,"LOUISIANA","LA","GEORGE W. BUSH","REPUBLICAN",927871,1765656,52.5510631742537
"20",2000,"MAINE","ME","AL GORE","DEMOCRAT",319951,651817,49.086016473949
"21",2000,"MARYLAND","MD","AL GORE","DEMOCRAT",1145782,2025480,56.5684183502182
"22",2000,"MASSACHUSETTS","MA","AL GORE","DEMOCRAT",1616487,2702984,59.8037946210558
"23",2000,"MICHIGAN","MI","AL GORE","DEMOCRAT",2170418,4232711,51.2772546956312
"24",2000,"MINNESOTA","MN","AL GORE","DEMOCRAT",1168266,2438685,47.9055720603522
"25",2000,"MISSISSIPPI","MS","GEORGE W. BUSH","REPUBLICAN",573230,994926,57.6153402363593
"26",2000,"MISSOURI","MO","GEORGE W. BUSH","REPUBLICAN",1189924,2359892,50.4228159593744
"27",2000,"MONTANA","MT","GEORGE W. BUSH","REPUBLICAN",240178,410986,58.4394602249225
"28",2000,"NEBRASKA","NE","GEORGE W. BUSH","REPUBLICAN",433862,697019,62.2453620346074
"29",2000,"NEVADA","NV","GEORGE W. BUSH","REPUBLICAN",301575,608970,49.5221439479777
"30",2000,"NEW HAMPSHIRE","NH","GEORGE W. BUSH","REPUBLICAN",273559,569081,48.0703098504431
"31",2000,"NEW JERSEY","NJ","AL GORE","DEMOCRAT",1788850,3187226,56.1256089150879
"32",2000,"NEW MEXICO","NM","AL GORE","DEMOCRAT",286783,598605,47.9085540548442
"33",2000,"NEW YORK","NY","AL GORE","DEMOCRAT",4107697,6821999,60.2125124908403
"34",2000,"NORTH CAROLINA","NC","GEORGE W. BUSH","REPUBLICAN",1631163,2911262,56.0294126739538
"35",2000,"NORTH DAKOTA","ND","GEORGE W. BUSH","REPUBLICAN",174852,288267,60.6562665861857
"36",2000,"OHIO","OH","GEORGE W. BUSH","REPUBLICAN",2351209,4705457,49.9677077061803
"37",2000,"OKLAHOMA","OK","GEORGE W. BUSH","REPUBLICAN",744337,1234229,60.3078521084823
"38",2000,"OREGON","OR","AL GORE","DEMOCRAT",720342,1533968,46.9593889833425
"39",2000,"PENNSYLVANIA","PA","AL GORE","DEMOCRAT",2485967,4912185,50.6081713127661
"40",2000,"RHODE ISLAND","RI","AL GORE","DEMOCRAT",249508,409112,60.9877001896791
"41",2000,"SOUTH CAROLINA","SC","GEORGE W. BUSH","REPUBLICAN",786426,1383777,56.8318450154902
"42",2000,"SOUTH DAKOTA","SD","GEORGE W. BUSH","REPUBLICAN",190700,316269,60.2967726840127
"43",2000,"TENNESSEE","TN","GEORGE W. BUSH","REPUBLICAN",1061949,2076181,51.149153180768
"44",2000,"TEXAS","TX","GEORGE W. BUSH","REPUBLICAN",3799639,6407637,59.2985994681035
"45",2000,"UTAH","UT","GEORGE W. BUSH","REPUBLICAN",515096,770754,66.8301429509286
"46",2000,"VERMONT","VT","AL GORE","DEMOCRAT",149022,294308,50.6347092161953
"47",2000,"VIRGINIA","VA","GEORGE W. BUSH","REPUBLICAN",1436877,2737915,52.4807015557459
"48",2000,"WASHINGTON","WA","AL GORE","DEMOCRAT",1247652,2488441,50.137897583266
"49",2000,"WEST VIRGINIA","WV","GEORGE W. BUSH","REPUBLICAN",336475,648124,51.915219927051
"50",2000,"WISCONSIN","WI","AL GORE","DEMOCRAT",1242987,2598607,47.8328196606874
"51",2000,"WYOMING","WY","GEORGE W. BUSH","REPUBLICAN",147947,218351,67.7565021456279
"52",2004,"ALABAMA","AL","GEORGE W. BUSH","REPUBLICAN",1176394,1883415,62.4606897577008
"53",2004,"ALASKA","AK","GEORGE W. BUSH","REPUBLICAN",292267,488693,59.805849480144
"54",2004,"ARIZONA","AZ","GEORGE W. BUSH","REPUBLICAN",1104294,2012585,54.8694340860138
"55",2004,"ARKANSAS","AR","GEORGE W. BUSH","REPUBLICAN",572770,1053694,54.3582861817568
"56",2004,"CALIFORNIA","CA","JOHN KERRY","DEMOCRAT",6737355,12383678,54.4051209987857
